,Population,"Households with household income $200,000 or more",Median family income,Households,Name,zipcode,"Percent of households with income over $200,000"
276,17103.0,334.0,96974.0,6197.0,ZCTA5 01904,01904,5.3897046958205586
277,26209.0,240.0,60924.0,8437.0,ZCTA5 01905,01905,2.8446130141045396
278,27773.0,723.0,92181.0,10039.0,ZCTA5 01906,01906,7.20191254108975
279,14418.0,1009.0,125966.0,5428.0,ZCTA5 01907,01907,18.588798820928517
280,3471.0,128.0,129313.0,1600.0,ZCTA5 01908,01908,8.0
281,17082.0,407.0,90997.0,6970.0,ZCTA5 01913,01913,5.839311334289814
282,40967.0,1698.0,98151.0,16229.0,ZCTA5 01915,01915,10.462751863947254
283,8198.0,908.0,166453.0,2703.0,ZCTA5 01921,01921,33.59230484646689
284,2829.0,111.0,116853.0,1068.0,ZCTA5 01922,01922,10.393258426966293
285,27419.0,908.0,100552.0,10543.0,ZCTA5 01923,01923,8.612349426159536
286,3632.0,239.0,120774.0,1453.0,ZCTA5 01929,01929,16.448726772195457
287,29546.0,914.0,87667.0,12619.0,ZCTA5 01930,01930,7.24304620017434
288,139.0,0.0,NA,0.0,ZCTA5 01937,01937,
289,13682.0,787.0,101486.0,5589.0,ZCTA5 01938,01938,14.081230989443549
290,13143.0,993.0,130773.0,4796.0,ZCTA5 01940,01940,20.704753961634694
291,5321.0,477.0,115677.0,2115.0,ZCTA5 01944,01944,22.5531914893617
292,20363.0,1819.0,135991.0,8261.0,ZCTA5 01945,01945,22.01912601379978
293,9514.0,438.0,119344.0,2853.0,ZCTA5 01949,01949,15.352260778128285
294,17837.0,1280.0,124947.0,7742.0,ZCTA5 01950,01950,16.533195556703696
295,4076.0,234.0,108167.0,1729.0,ZCTA5 01951,01951,13.533834586466165
296,8899.0,134.0,86630.0,3649.0,ZCTA5 01952,01952,3.6722389695807074
297,51948.0,1272.0,84847.0,21304.0,ZCTA5 01960,01960,5.970709725873076
298,7167.0,237.0,91585.0,3233.0,ZCTA5 01966,01966,7.330652644602536
299,6145.0,357.0,115921.0,2209.0,ZCTA5 01969,01969,16.161158895427796
300,42650.0,807.0,78642.0,18052.0,ZCTA5 01970,01970,4.470418790161755
301,8136.0,609.0,131250.0,2754.0,ZCTA5 01982,01982,22.113289760348582
302,6434.0,580.0,160571.0,2233.0,ZCTA5 01983,01983,25.97402597402597
303,5135.0,321.0,149550.0,1389.0,ZCTA5 01984,01984,23.110151187904968
304,4484.0,329.0,157331.0,1590.0,ZCTA5 01985,01985,20.69182389937107
305,16833.0,606.0,106580.0,6342.0,ZCTA5 02019,02019,9.555345316934721
306,22562.0,1481.0,123250.0,8918.0,ZCTA5 02021,02021,16.606862525229875
307,8316.0,868.0,151528.0,2949.0,ZCTA5 02025,02025,29.433706341132588
308,25272.0,1337.0,115379.0,9606.0,ZCTA5 02026,02026,13.918384343118884
309,5864.0,945.0,205139.0,1966.0,ZCTA5 02030,02030,48.06714140386571
310,4070.0,304.0,122266.0,1588.0,ZCTA5 02032,02032,19.143576826196472
311,17348.0,819.0,108510.0,6352.0,ZCTA5 02035,02035,12.893576826196472
312,32873.0,2253.0,127639.0,11191.0,ZCTA5 02038,02038,20.132249128764183
313,22901.0,2408.0,158117.0,8556.0,ZCTA5 02043,02043,28.143992519869098
314,10437.0,392.0,95975.0,4919.0,ZCTA5 02045,02045,7.969099410449278
315,47.0,0.0,NA,33.0,ZCTA5 02047,02047,0.0
316,23615.0,1180.0,118220.0,8280.0,ZCTA5 02048,02048,14.251207729468598
317,25961.0,1041.0,108764.0,9623.0,ZCTA5 02050,02050,10.817832276836745
318,12510.0,1474.0,164083.0,4115.0,ZCTA5 02052,02052,35.82017010935601
319,13135.0,920.0,141824.0,4602.0,ZCTA5 02053,02053,19.991308126901348
