,Zipcode,GF_Total,GF_Price_1,GF_Price_2,GF_Price_3,GF_Price_4,GF_Price_0,GF_Rating_10,GF_Rating_15,GF_Rating_20,GF_Rating_25,GF_Rating_30,GF_Rating_35,GF_Rating_40,GF_Rating_45,GF_Rating_50,GF_Price_Mean,GF_Rating_Mean,GF_Price_Std,GF_Rating_Std,ALL_Total,ALL_Price_1,ALL_Price_2,ALL_Price_3,ALL_Price_4,ALL_Price_0,ALL_Rating_10,ALL_Rating_15,ALL_Rating_20,ALL_Rating_25,ALL_Rating_30,ALL_Rating_35,ALL_Rating_40,ALL_Rating_45,ALL_Rating_50,ALL_Price_Mean,ALL_Rating_Mean,ALL_Price_Std,ALL_Rating_Std
21,90312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,3.5,,
22,90504,5,3,2,0,0,0,0,0,0,0,1,1,2,1,0,1.4,3.8,0.5477225575051661,0.5700877125495689,55,30,19,1,0,0,0,1,5,5,8,10,14,10,2,1.42,3.5272727272727273,0.5379477252503634,0.8629094938710516
23,90621,14,5,9,0,0,0,0,0,0,0,0,6,3,5,0,1.6428571428571428,3.9642857142857144,0.49724515809884684,0.45843738412659496,113,39,62,2,0,0,1,4,3,6,7,29,40,20,3,1.6407766990291262,3.6769911504424777,0.5212046553754821,0.7903445055297001
24,90623,5,3,2,0,0,0,0,0,0,0,0,1,3,0,1,1.4,4.1,0.5477225575051661,0.5477225575051661,32,21,8,0,0,0,0,0,3,1,3,9,8,6,2,1.2758620689655173,3.6875,0.45485882614734197,0.8007053342260588
25,90633,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0,3.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
26,90639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5,3,1,0,0,0,0,0,0,0,2,0,3,0,0,1.25,3.6,0.5,0.5477225575051661
27,90703,44,14,30,0,0,0,0,0,0,3,5,12,16,8,0,1.6818181818181819,3.7386363636363638,0.4711552981879444,0.5653629865439647,146,64,79,0,0,0,0,1,4,21,23,30,51,16,0,1.5524475524475525,3.506849315068493,0.49898942491153514,0.687289281487644
28,90713,11,5,5,0,0,0,0,0,0,1,2,1,4,3,0,1.5,3.772727272727273,0.5270462766947299,0.6842381297339531,44,31,11,0,0,0,0,1,5,8,12,5,9,4,0,1.2619047619047619,3.159090909090909,0.4450006198693307,0.7980552472040091
29,90732,6,2,4,0,0,0,0,0,0,0,2,0,3,1,0,1.6666666666666667,3.75,0.5163977794943223,0.6123724356957945,27,15,12,0,0,0,0,0,1,5,5,6,9,1,0,1.4444444444444444,3.3703703703703702,0.5063696835418333,0.6591456094619265
30,90742,4,1,2,1,0,0,0,0,0,0,0,0,2,2,0,2.0,4.25,0.816496580927726,0.28867513459481287,10,3,6,1,0,0,0,0,0,0,0,1,6,3,0,1.8,4.1,0.6324555320336759,0.31622776601683794
