,Unnamed: 0,Zipcode,GF_Total,GF_Price_1,GF_Price_2,GF_Price_3,GF_Price_4,GF_Price_0,GF_Rating_10,GF_Rating_15,GF_Rating_20,GF_Rating_25,GF_Rating_30,GF_Rating_35,GF_Rating_40,GF_Rating_45,GF_Rating_50,GF_Price_Mean,GF_Rating_Mean,GF_Price_Std,GF_Rating_Std,ALL_Total,ALL_Price_1,ALL_Price_2,ALL_Price_3,ALL_Price_4,ALL_Price_0,ALL_Rating_10,ALL_Rating_15,ALL_Rating_20,ALL_Rating_25,ALL_Rating_30,ALL_Rating_35,ALL_Rating_40,ALL_Rating_45,ALL_Rating_50,ALL_Price_Mean,ALL_Rating_Mean,ALL_Price_Std,ALL_Rating_Std
32,32,90747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5,5,0,0,0,0,0,0,2,0,1,1,1,0,0,1.0,2.9,0.0,0.8944271909999159
33,33,90804,18,9,9,0,0,0,0,0,0,0,2,3,9,4,0,1.5,3.9166666666666665,0.5144957554275266,0.4617740725913994,98,70,20,1,0,0,0,2,7,6,8,25,32,16,2,1.2417582417582418,3.6071428571428568,0.4555987352596663,0.7807279183391785
34,34,90822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,3.5,,
35,35,90846,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1.5,4.0,0.7071067811865476,0.0,3,2,1,0,0,0,0,0,0,0,1,0,2,0,0,1.3333333333333333,3.6666666666666665,0.5773502691896257,0.5773502691896258
36,36,91066,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.0,3.5,,,4,3,0,1,0,0,0,1,0,0,0,2,1,0,0,1.5,3.125,1.0,1.1086778913041726
37,37,91101,71,18,45,5,1,0,0,0,0,2,9,12,35,13,0,1.8405797101449275,3.838028169014085,0.6093194951988047,0.5055029170985772,124,35,63,8,1,0,0,0,3,5,17,26,49,18,6,1.766355140186916,3.770161290322581,0.6231302485418736,0.6420216847526493
38,38,91103,31,7,20,2,0,0,0,0,0,1,0,8,17,5,0,1.827586206896552,3.9032258064516134,0.5391107438074945,0.4167204266393653,65,29,33,2,0,0,0,2,2,5,2,13,27,14,0,1.578125,3.7230769230769236,0.5579067311253025,0.7449348190381389
39,39,91105,69,9,51,7,0,0,0,0,0,2,3,11,39,13,1,1.9701492537313432,3.942028985507247,0.4914465122019845,0.45806684494907796,106,19,71,6,1,0,2,0,0,6,10,16,51,17,4,1.8865979381443296,3.8066037735849063,0.537670295886836,0.6885829296702348
40,40,91124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,3.0,,
41,41,91209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,3.25,,1.7677669529663689
42,42,91210,16,2,14,0,0,0,0,0,0,1,2,6,6,1,0,1.875,3.625,0.3415650255319866,0.5,39,12,20,0,0,0,0,0,3,4,9,9,11,3,0,1.625,3.3846153846153846,0.4918693768379647,0.6926449920559903
43,43,91307,15,4,10,0,0,0,0,0,1,1,3,3,4,1,2,1.7142857142857142,3.633333333333333,0.4688072309384954,0.8549575316659775,37,18,17,0,0,0,0,0,3,6,10,5,8,3,2,1.4857142857142858,3.3513513513513518,0.5070925528371099,0.8153464231783873
44,44,91316,30,4,24,0,0,0,0,0,1,0,2,9,12,5,1,1.8571428571428568,3.8333333333333335,0.35634832254989923,0.5773502691896258,60,11,42,0,0,0,1,0,1,1,5,13,26,13,0,1.7924528301886793,3.808333333333333,0.4094316213238944,0.6450047080807454
45,45,91329,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,4.0,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,4.0,,
46,46,91330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,6,5,0,0,0,0,0,0,2,0,2,1,0,1,0,1.0,3.0,0.0,0.9486832980505138
47,47,91361,23,1,18,4,0,0,0,0,0,0,0,8,8,7,0,2.130434782608696,3.978260869565217,0.4576965872801601,0.4122626278336424,44,10,22,5,0,0,0,1,0,4,3,11,12,11,2,1.864864864864865,3.7840909090909087,0.630791485276948,0.7423855895936853
48,48,91403,56,13,40,2,0,0,0,0,0,1,9,11,25,9,1,1.8,3.8125,0.4868644955601476,0.5271061649145351,91,31,52,3,0,0,1,2,3,2,13,21,36,13,0,1.6744186046511629,3.6263736263736255,0.5410634509951083,0.7210848562848687
49,49,91411,14,6,8,0,0,0,0,0,0,1,0,2,8,3,0,1.5714285714285714,3.928571428571429,0.5135525910130955,0.5135525910130955,50,25,21,0,0,0,1,3,6,6,1,8,16,8,1,1.4565217391304348,3.37,0.503610155185335,1.0242468611878004
50,50,91436,33,4,22,4,1,0,0,0,0,0,5,7,13,7,1,2.064516129032258,3.878787878787879,0.6290460434111187,0.5307763039628699,70,19,34,7,2,0,0,0,0,3,11,14,19,18,5,1.870967741935484,3.878571428571429,0.7351563002706322,0.6562724904950216
51,51,91602,36,4,31,1,0,0,0,0,1,1,1,5,17,11,0,1.9166666666666667,3.9583333333333335,0.3683941988065036,0.5653696641515683,58,16,37,3,0,0,1,0,3,2,4,8,24,15,1,1.7678571428571428,3.8017241379310343,0.5390588238628652,0.7719856782851053
52,52,91607,17,4,11,1,0,0,0,0,0,0,0,3,7,5,2,1.8125,4.176470588235294,0.5439056290693574,0.4657378712386211,64,19,34,1,0,0,1,0,2,5,4,10,22,15,5,1.6666666666666667,3.828125,0.5139561687500466,0.8126907590475421
53,53,91737,4,2,2,0,0,0,0,0,0,0,0,1,0,3,0,1.5,4.25,0.5773502691896257,0.5,19,11,7,0,0,0,0,1,2,1,1,4,6,4,0,1.3888888888888888,3.5263157894736836,0.5016313257045503,0.9200495791370024
54,54,91776,42,22,19,0,0,0,0,0,0,0,4,16,18,3,1,1.4634146341463414,3.773809523809524,0.5048544827774512,0.4305750685573681,188,82,74,6,0,0,3,2,10,11,22,59,57,17,7,1.530864197530864,3.5398936170212765,0.5702003516926927,0.7754619043465191
55,55,91803,9,6,3,0,0,0,0,0,1,1,0,3,4,0,0,1.3333333333333333,3.4444444444444446,0.5,0.7264831572567788,63,37,21,0,0,0,0,1,3,10,7,17,21,4,0,1.362068965517241,3.412698412698413,0.4847960635468175,0.7101776387255703
56,56,91905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3,0,2,1,0,0,0,0,0,0,0,1,1,1,0,2.333333333333333,4.0,0.5773502691896258,0.5
57,57,91913,6,3,3,0,0,0,0,0,0,0,0,2,2,2,0,1.5,4.0,0.5477225575051661,0.4472135954999579,31,18,7,0,0,0,0,0,1,3,6,8,6,5,2,1.28,3.612903225806452,0.458257569495584,0.7605883404680315
58,58,91915,16,6,10,0,0,0,0,0,1,2,1,6,5,1,0,1.625,3.46875,0.5,0.6700435309241731,59,32,24,0,0,0,1,2,4,7,14,13,15,2,1,1.4285714285714286,3.23728813559322,0.4993502271458878,0.8059901396429342
59,59,91934,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0,4.0,,,4,2,2,0,0,0,0,0,0,0,0,1,1,0,2,1.5,4.375,0.5773502691896257,0.75
60,60,91978,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4.5,,,13,9,2,0,0,0,0,0,1,1,0,1,3,4,3,1.181818181818182,4.076923076923077,0.4045199174779453,0.9319816219163036
61,61,92008,98,22,70,3,0,0,0,0,0,3,6,30,35,23,1,1.8,3.8673469387755097,0.4749020055691668,0.510462799962124,168,59,97,3,0,0,1,1,4,12,16,51,46,34,3,1.6477987421383649,3.684523809523809,0.5172757849734763,0.6997850906402667
62,62,92039,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.0,4.0,,,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.0,4.0,,
63,63,92083,18,7,11,0,0,0,0,0,0,1,2,4,7,4,0,1.6111111111111112,3.8055555555555554,0.5016313257045503,0.5723760818596172,68,47,19,0,0,0,0,4,2,8,6,16,19,13,0,1.2878787878787878,3.5073529411764706,0.4562439130098152,0.8441751562731711
64,64,92093,7,7,0,0,0,0,0,0,0,0,2,2,3,0,0,1.0,3.571428571428572,0.0,0.4498677054212187,28,20,6,0,0,0,0,0,2,2,7,11,5,1,0,1.2307692307692308,3.321428571428572,0.4296689244236597,0.5965065848924936
65,65,92104,100,33,64,0,0,0,0,0,1,2,5,7,53,31,1,1.6597938144329898,4.03,0.476239565461901,0.4914419106213384,168,71,78,0,1,0,0,0,3,9,14,15,69,47,11,1.54,3.961309523809524,0.5388279599926112,0.6588799782790622
66,66,92136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,10,6,2,0,0,0,0,0,3,1,0,3,3,0,0,1.25,3.1,0.4629100498862757,0.8755950357709131
67,67,92163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,3.5,,
68,68,92173,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.0,5.0,,,60,38,8,0,0,0,2,7,11,12,5,4,11,4,4,1.173913043478261,2.925,0.3832230465168328,1.1230444397081183
69,69,92178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,3.0,,
70,70,92182,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,3.0,,,8,6,1,1,0,0,0,0,0,1,4,2,1,0,0,1.375,3.1875,0.7440238091428449,0.4580626906564522
71,71,92203,3,1,2,0,0,0,0,0,0,0,1,0,1,0,1,1.6666666666666667,4.0,0.5773502691896257,1.0,39,22,13,1,0,0,0,1,8,4,11,4,8,2,1,1.4166666666666667,3.08974358974359,0.5542047068934519,0.8650509178183406
72,72,92210,9,1,6,2,0,0,0,0,0,0,1,2,5,1,0,2.1111111111111107,3.8333333333333335,0.6009252125773316,0.4330127018922193,20,0,14,2,1,0,0,1,1,0,2,5,9,2,0,2.235294117647059,3.6,0.5622957145383871,0.7539370349250519
73,73,92233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,3.75,0.0,0.3535533905932738
74,74,92242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,3.75,0.0,0.3535533905932738
75,75,92250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,7,1,3,0,0,0,0,0,0,0,0,4,1,1,1,1.75,3.928571428571429,0.5,0.6074928962939559
76,76,92251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,12,3,6,0,0,0,1,0,1,0,0,1,4,3,2,1.6666666666666667,3.8333333333333335,0.5,1.19341628287971
77,77,92268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,4.5,,
78,78,92270,35,2,23,8,2,0,0,0,0,0,6,12,12,5,0,2.2857142857142856,3.7285714285714286,0.6673665793703666,0.4750055284950274,72,10,35,13,3,0,2,0,3,5,12,18,23,8,1,2.1475409836065573,3.5069444444444446,0.7491342908933946,0.7804524489289041
79,79,92284,15,5,9,0,0,0,0,0,0,1,1,0,4,8,1,1.6428571428571428,4.166666666666667,0.4972451580988469,0.6454972243679028,60,30,24,1,0,0,1,1,4,4,13,14,12,10,1,1.4727272727272729,3.441666666666667,0.5393598899705939,0.8391463916782738
80,80,92301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,6,2,1,0,0,0,1,0,2,0,0,1,0,2,0,1.3333333333333333,2.9166666666666665,0.5773502691896257,1.463443427901013
81,81,92316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,28,20,4,0,0,0,0,0,4,2,7,3,9,1,2,1.1666666666666667,3.3928571428571432,0.3806934938134404,0.8644966728417741
82,82,92317,5,1,4,0,0,0,0,0,0,0,0,0,3,2,0,1.8,4.2,0.4472135954999579,0.2738612787525831,9,3,6,0,0,0,0,0,1,1,0,1,3,3,0,1.6666666666666667,3.7222222222222223,0.5,0.905231707600018
83,83,92328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5,1,1,2,0,0,0,0,1,2,1,0,1,0,0,2.25,2.8,0.957427107756338,0.758287544405155
84,84,92333,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2.0,4.25,0.0,0.3535533905932738,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0,4.0,,
85,85,92342,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,3.5,,,7,1,5,0,0,0,0,0,0,0,0,2,3,1,1,1.8333333333333333,4.071428571428571,0.40824829046386296,0.5345224838248488
86,86,92350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1.0,4.0,0.0,0.0
87,87,92364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,4.5,,
88,88,92373,40,12,28,0,0,0,0,0,0,0,2,7,19,12,0,1.7,4.0125,0.464095480892257,0.4158324983291549,100,52,44,1,0,0,1,2,7,8,14,19,35,12,2,1.4742268041237114,3.505,0.5222703543415566,0.8211072839265112
89,89,92377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,10,7,2,0,0,0,0,0,1,1,1,4,1,1,1,1.2222222222222223,3.5,0.4409585518440984,0.8819171036881969
90,90,92385,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,4.5,,,4,0,4,0,0,0,0,0,0,0,0,0,1,3,0,2.0,4.375,0.0,0.25
91,91,92391,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,4.5,,,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2.0,4.0,,0.7071067811865476
92,92,92401,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,3.5,,,20,10,4,0,0,0,2,0,2,4,2,6,1,2,1,1.2857142857142858,3.05,0.4688072309384954,1.0748316881701698
93,93,92407,10,4,5,1,0,0,0,0,1,0,2,2,1,4,0,1.7,3.7,0.6749485577105528,0.8563488385776752,66,48,14,1,0,0,0,4,6,9,15,17,8,6,1,1.2539682539682542,3.1666666666666665,0.4741122083143488,0.8335897041541448
94,94,92517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,4.0,,
95,95,92539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,8,3,2,0,0,0,0,0,0,1,1,1,2,2,1,1.4,3.875,0.5477225575051661,0.8345229603962802
96,96,92544,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,3.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
97,97,92548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,4.5,,0.7071067811865476
98,98,92549,17,3,12,1,0,0,0,0,0,0,0,0,11,5,1,1.875,4.205882352941177,0.5,0.3091734712004212,19,2,15,0,0,0,1,0,0,0,0,1,10,6,1,1.8823529411764703,4.026315789473684,0.3321055820775357,0.8074941384466707
99,99,92585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,8,5,1,0,0,0,0,1,1,0,1,1,1,0,3,1.1666666666666667,3.625,0.40824829046386296,1.3822858914545448
100,100,92619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,3.5,,
101,101,92652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,3.5,,
102,102,92673,20,9,11,0,0,0,0,0,0,0,2,5,7,6,0,1.55,3.925,0.5104177855340405,0.4940434670840422,50,20,21,1,0,0,3,1,1,7,5,10,12,9,2,1.5476190476190477,3.45,0.5500501508124752,1.0063573431146693
103,103,92801,12,4,8,0,0,0,0,0,0,0,1,2,7,2,0,1.6666666666666667,3.9166666666666665,0.492365963917331,0.4174235549683609,146,93,40,0,0,0,0,3,16,7,32,27,36,20,5,1.300751879699248,3.448630136986301,0.4603187697542931,0.8422659340358141
104,104,92832,54,17,35,2,0,0,0,0,1,1,6,10,24,12,0,1.7222222222222223,3.842592592592593,0.5290313921087081,0.5564719904635903,150,72,64,2,1,0,3,2,14,6,22,32,43,23,5,1.5107913669064748,3.5166666666666666,0.5693488077202454,0.8774135775845697
105,105,92860,21,15,5,0,0,0,0,0,2,0,2,6,8,3,0,1.25,3.6428571428571432,0.4442616583193193,0.6917885721601857,89,58,25,0,0,0,1,2,8,9,8,20,28,13,0,1.3012048192771084,3.4494382022471917,0.4615704834540482,0.8462650019491552
106,106,93003,55,19,32,0,0,0,0,0,0,1,6,9,22,14,3,1.6274509803921569,3.963636363636364,0.4882943503144591,0.5598821424800164,152,70,70,0,0,0,3,4,11,13,20,35,42,21,3,1.5,3.444078947368421,0.5017953379128578,0.8737324633817245
